linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,Skills,total_experience_count
external_validation_index_11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Marketing (MS),Unknown,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_12,Data Analytics Manager,Unknown,Unknown,Unknown,Sales Business Analyst,Nestlé,2019,Master of Science,Analytics (MS),Analytics,12,"Master of Science - MS, Analytics",0,0,Data Analytics Manager,NA,Bloomberg Industry Group,https://www.bloombergindustry.com/,Software Development,United States,NA,2025-03-01T00:00:00Z,Senior Data Analyst,"• Directs end-to-end data analytics and BI projects in an Agile environment for Sales, Marketing, and eCommerce leadership teams
• Defines and prioritizes key data projects, ensuring alignment with the strategic data roadmap and long-term business strategy while enhancing data quality and integrity across the organization
• Manages cross-functional business and technical stakeholders by documenting requirements, translating them into scalable technical solutions, and recommending streamlined AI, BI, and automation processes
• Leads the testing and implementation of a company-specific GenAI tool for data analysis and daily tasks. Conducts training sessions and develops processes to integrate GenAI across the business, enhancing company efficiency and skill adoption
• Owns 10+ advanced Power BI dashboards tracking portfolio performance, market share, CRM and distribution, informing business strategy decisions across 12 CPG categories
• Provides strategic insights and recommendations that support cross-functional teams in leveraging data for decision-making
• Mentors junior analysts on process frameworks, technical tools, and data methodologies and standards, improving skills through targeted trainings and ongoing workshops

Accomplishments:
• Developed a CRM tracker which identified and prioritized 2M in customer sales opportunities, enabling a data-driven approach to targeted acquisition and retention strategies
• Transformed 500k+ online product reviews into Nestle’s first consumer sentiment BI reporting suite, identifying $1.5M in 4P gaps and opportunities
• Lead a team that developed a mapping solution linking over 4,000 products to multiple data sources, significantly reducing data integration and ETL efforts while enhancing data accessibility for 35+ users",Nestlé,9.2,"Strategic Insights, CPG Industry, Reporting & Analysis, Data Science, Analytics, Data Integration, Dashboard Building, Azure SQL, Artificial Intelligence (AI), Business Intelligence (BI), Microsoft Azure, Ad Hoc Analysis, Report Development, Business Insights, Databases, Dashboards, SAP BusinessObjects, Statistical Data Analysis, Big Data Analytics, Microsoft Power BI",7
external_validation_index_13,Senior Analyst - Portfolios & Funds Management,Unknown,Unknown,Unknown,Analyst - Portfolios And Funds Management,Warba Bank,2020,Master of Business Admin,Business Administration (MBA),Business Administration,13,"Master of Business Administration - MBA, Finance, General",2018,2020,Senior Analyst - Portfolios & Funds Management,NA,Warba Bank,http://www.warbabank.com,Banking,Kuwait,NA,2024-04-01T00:00:00Z,Analyst - Portfolios & Funds Management,NA,Warba Bank,4,"Microsoft Power BI, Microsoft Office, Microsoft Excel, Bloomberg Terminal",2
external_validation_index_14,Senior Account Manager,Washington,District of Columbia,United States,Account Manager,MediaAlpha,2020,BS in Business Administration,Business Administration: Entrepreneurship: Marketing (BSBA),Business Administration,14,"Bachelor of Science in Business Administration, Marketing and Entrepreneurship",2016,2020,Senior Account Manager,NA,MediaAlpha,http://www.mediaalpha.com/,Advertising Services,United States,NA,2025-03-01T00:00:00Z,Account Manager,NA,MediaAlpha,8.9,"Microsoft Excel, Hootsuite, Sales, Social Media, Microsoft Office, Microsoft PowerPoint, Microsoft Word, Public Speaking, Leadership, Teamwork, Time Management, Thomson Reuters Eikon",6
external_validation_index_15,Unknown,Abu Dhabi,Unknown,United Arab Emirates,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_16,Information Technology Consultant,Morrisville,North Carolina,United States,Unknown,Unknown,2020,Master of Science,Analytics (MS) [Online],Analytics,16,"Master of Science - MS, Analytics",2017,2020,Information Technology Consultant,NA,IBM,http://www.ibm.com,IT Services and IT Consulting,United States,"Raleigh-Durham, North Carolina Area",2017-06-01T00:00:00Z,IT Test Consultant,NA,MetLife Global Technology Operations,30.2,"watsonx.ai, Method Adoption, Test Strategy, Finance, Telecommunications, E-Learning, Software Quality Assurance, Agile & Waterfall Methodologies, ISTQB Certified, Scrum, Databases, Test Driven Development, Test Planning, Test Cases, Test Automation, Full SDLC, Software Development, Web Applications, Cloud Applications, Embedded Systems",12
external_validation_index_17,Finance Specialist – Team Leader - Procurement Funds,Washington,District of Columbia,United States,Finance Specialist – Team Leader - Procurement Funds,Pan American Health Organization,2020,Master of Science,Accounting (MS),Accounting,17,"Master of Science, Finance",2011,2014,Finance Specialist – Team Leader - Procurement Funds,"• Part of the accounts professionals’ team who actively participate in the formulation and implementation of fund’s financial operations policies, internal controls, and accounting treatment of organization-wide procurement and financial transactions. Responsible for the reconciliation and reporting of ledger’s accounts related to Procurement Funds which account for more than 85% of PAHO’s revenue as of 2021.
• FRM business expert in charge of the process automatization of the Procurement Funds. Apply knowledge of technology, financial databases, and International Public Sector Accounting Standards (IPSAS) to ensure policies are accurately translated to financial IT systems. 
• Liaise and respond to queries from internal and external auditors regarding Procurement Funds.
• Prepare periodic financial reports and Fund’s Financial Statements for Executive Directors, other PAHO’s departments, Member States, and other participating Institutions.
• Participate in the approval of Member States’ line of credit requests up to $10M. 
• Control and monitor budget for the prepayment and line of credit accounts of the funds.
• Supervise staff of the Team, provide training, advice and guidance on issues arising from the day-to-day activities of the office.",Pan American Health Organization,http://www.paho.org,International Affairs,United States,"Washington, United States",2021-05-01T00:00:00Z,Finance Specialist – Accounting Operations and Statutory Reporting,"• Lead the formulation and automation of the Procurement Funds into Workday and the implementation of financial policies for financial reporting according to the International Public Sector Accounting Standards (IPSAS). Ensure these policies are accurately translated to financial IT systems. 
• Focal point for the year-end financial closure of the Funds. Prepare and register year-end accounting adjusting entries in PMIS such as accruals and prepaids. 
• Prepare organization-wide training material for different levels of organizational hierarchy including job aids, presentations, bulletins, standard operating procedures, and recordings in different languages reflecting the current requirements of Workday. 
• Act as a signatory on the Organization’s bank and investment accounts, including electronic banking.
• Provide cross-functional support in the Accounts Unit projects such as Biennium Closure, Electronic Communications, Cost Center Closure Schedule and training, etc.",Pan American Health Organization,16.8,"Spanish, Financial Reporting, Organization Skills, International Relations, Financial Analysis, English, Interpersonal Skills, Policy Analysis, Management, Team Leadership, Relaciones internacionales, Cooperación internacional, Administración y dirección de empresas, Investigación y desarrollo, Análisis, Microsoft Office, América Latina, International Development, Analysis, Research",9
external_validation_index_18,Supervisor,Washington,District of Columbia,United States,Senior Consultant,Armanino,2020,Bachelor of Science,Accounting (BS),Accounting,18,Master's Degree,2022,2024,Supervisor,NA,CBIZ,http://www.cbiz.com,Business Consulting and Services,United States,"Washington, District of Columbia, United States",2025-03-01T00:00:00Z,Senior Consultant,NA,Armanino LLP,7.8,"Microsoft Office, Adobe Photoshop, Adobe Premiere Pro, Microsoft Access, Databases",7
external_validation_index_19,Digital Marketing,Frederick,Maryland,United States,Digital Marketing,Atlantic Records,2020,BS in Business Administration,Business Administration: Self-Designed (BSBA),Business Administration,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_20,Supervisory Facilities Operations Specialist,Manassas,Virginia,United States,Supervisory Budget Analyst,U.S. Department of Justice,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,20,"Master of Business Administration - MBA, Business Administration with a concentration in Finance",2018,2019,Supervisory Facilities Operations Specialist,"Provide leadership, oversight, and supervise personnel to include overall support for the operation, maintenance, and repair of all buildings, facilities, operating systems, and stand-alone equipment on-site. Collaborate with the Unit Chief to oversee the area of responsibilities for the Unit. Coordinate with the Contracting Officer's Representatives (COR) for multi-million-dollar facility maintenance and supply contracts. Analyze and provide information, advice and detailed supporting data to upper management and executives to meet schedule project timelines. Spearheads communications and develops relationships with other units in the Section, Division, Agency, and Other Government Agencies (OGA) in support of facilities operations and maintenance.",U.S. Department of Justice,http://www.justice.gov,Law Enforcement,United States,"Washington, DC",2025-10-01T00:00:00Z,Supervisory Budget Analyst,"Oversee and coach employees assigned to the Unit. Spearhead the acquisition life cycle for all current and new multi-year-multi-million-dollar contracts. Collaborate with stakeholders to formulate, simulate, and execute the non-direct and direct funds for the Zero-Based budgeting for the Division. Formulate and conduct presentations and white papers utilizing quantitative and qualitative data for Executive Management decision-making. Supervise the management of assets, space allocation, and logistics assigned to the Division.",U.S. Department of Justice,10.4,"Personnel Management, Facility Management (FM), Program Management, IT Management, IT Service Management, Databases, Complex Project Management, Government, Supportive Services, Strategic Project Management, Project Management, Construction Drawings, AutoCAD Architecture, Microsoft Project, Visio, Soft Skills, Strategic Communications, Document Drafting, Floor Plans, Financial Management",4
external_validation_index_21,Law Clerk,Murphy,Texas,United States,"Founder, CEO",Andolina Investments LLC,2019,BS in Business Administration,Business Administration: Self-Designed (BSBA),Business Administration,21,Doctor of Law - JD,2023,2026,Law Clerk,"Drafted hundreds of petitions and motions for commercial litigation. Helped manage a heavy case load of fast-paced litigation. Researched issues of creditor’s rights, insurance defense, business organizations, and civil litigation. Drafted memoranda to help inform clients of litigation matters.","Quilling, Selander, Lownds, Winslett & Moser, P.C.",http://www.qslwm.com,Law Practice,United States,"Dallas, Texas, Stati Uniti d'America",2025-05-01T00:00:00Z,Legal Extern,"Drafted contracts, memoranda, and board resolutions to assist nonprofits achieve their organizational goals. Researched issues of nonprofit transactions, management, formation, and dissolution. Drafted web agreements including privacy policies for nonprofit clients to use in their websites.",Our Community Law,9.8,"Motion Drafting, Contract Drafting, Legal Writing, Legal Research, Claims Management, Analytical Skills, Microsoft Excel, Microsoft PowerPoint, Microsoft Access, Financial Analysis, Financial Reporting, Forecasting, Accounting, Financial Modeling",5
external_validation_index_22,Sales Consultant,Sussex,New Jersey,United States,Sales Consultant,Chrysler Jeep Dodge Of Warwick,2020,BS in Business Administration,Business Administration: Accounting: Finance (BSBA),Business Administration,22,"Master's degree, Accounting",2020,2021,Sales Consultant,NA,Chrysler Jeep Dodge Of Warwick,http://www.chryslerjeepdodgeofwarwick.net/index.htm,Motor Vehicle Manufacturing,United States,"Warwick, New York, United States",2017-06-01T00:00:00Z,NA,NA,NA,2.2,"Accounting, Sales Consulting, Teamwork, Communication, Time Management",1
external_validation_index_23,Statistical Data Coordinator,Chandigarh,Unknown,India,Unknown,Unknown,2020,Master of Science,Analytics (MS),Analytics,23,"Master's , Analytics",2018,2020,Statistical Data Coordinator,NA,York Region (The Regional Municipality of York),http://www.york.ca,Government Administration,Canada,"Newmarket, Ontario, Canada",2025-07-01T00:00:00Z,Data Management Consultant,"• Engineered a data pipeline using Fivetran for automated data ingestion from AWS S3 to Snowflake, implemented dbt Cloud for data transformation, and facilitated Tableau visualization, resulting in a 5-hour weekly time savings for the team.
• Automated key data pipeline, freeing up 20 engineering hours per week for strategic initiatives by leveraging dbt and modular design for maintainable transformations.
• Accountable for developing custom API integration to automate bidirectional batch data synchronization between 2 ERP systems, ensuring 100% data consistency.
• Developed intuitive sales dashboards with interactive filters, streamlining reporting and saving the team 5 hours per week.
• Developed a .NET solution to bypass limitations with the existing QuickBooks Desktop sync tool, automating timesheet data extraction and saving the team 10 hours per week.
• Built a Jira reporting tool featuring custom SQL, interactive dashboards, and role-based access control, resulting in a 15% reduction in project delays.",MandSConsulting,10.8,"Business Development, dbt, Process Improvement, Information Technology, Amazon Web Services (AWS), Agile Project Management, Git, Customer Service, Web Design, Data Cleaning, Data Structures, Reporting & Analysis, Process Automation, R (Programming Language), Data Analysis, Data Mining, Data Visualization, Software Development, Data Science, Business Analysis",13
external_validation_index_24,Business Consultant - Staff,Fort Lauderdale,Florida,United States,Business Consultant - Staff,Ernst & Young Global Consulting Services,2020,Bachelor of Science,Business and Entertainment: Agency (BS),Business and Entertainment,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_25,Unknown,Key Biscayne,Florida,United States,Unknown,Unknown,2020,Master of Business Admin,Business Administration (MBA),Business Administration,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_26,Carbon Data Analyst and Customer Success,NY,New York,United States,Unknown,Unknown,2020,Master of Business Admin,Business Administration (MBA),Business Administration,26,"Master of Arts - MA, Climate & Society",2021,2022,Carbon Data Analyst and Customer Success,"• Support the onboarding of global clients, to the Impacti software and consulting services for GHG data management and emissions reporting.
• Translate user requirements into clear software specifications to support GHG app development
• Guide stakeholders in 140+ countries to understand GHG data requirements and deliver high-quality submissions
• Process and structure both raw and unstructured data for integration into GHG inventory workflows
• Conduct QA/QC reviews to ensure data consistency, accuracy, and alignment with international standards
• Create data visualizations using Power BI to uncover insights and communicate data stories effectively.
• Research evolving methodologies, emission factors, and Scope 3 best practices with a focus on logistics, IT, and humanitarian supply chains
• Apply data science techniques to streamline reporting workflows, detect anomalies, and improve inventory accuracy",Impacti,https://impacti.solutions,Software Development,France,"Biarritz, Nouvelle-Aquitaine, France",2022-11-01T00:00:00Z,Anticipatory Action,"• Collecting, analyzing, and visualizing data of Early Action and Anticipatory Action allocations.
• Monitoring and analyzing humanitarian developments in countries affected by disasters and emergencies.
• Supporting the Anticipatory Action pilot programs including research and analysis, compiling background information, and providing necessary documents.
• Contribute to the review of Allocation’s Final Reports and coordinate with the country office for any clarifications.",United Nations OCHA,13.9,"Microsoft Office, Scuba Diving, Photoshop, Illustrator, Spanish, Microsoft Excel, Social Media, Microsoft PowerPoint, Public Speaking, Data Analytics, Data Entry, Supply Chain Management, Sustainability, Tableau, Excel Pivot, Circular Economy",11
external_validation_index_27,Quality Manager,Millersville,Maryland,United States,Operations Manager Ii,Amazon,2020,Master of Science,Analytics (MS),Analytics,27,Master of Science in Analytics,2018,2020,Quality Manager,NA,Northrop Grumman,https://www.northropgrumman.com/,Defense and Space Manufacturing,United States,Washington DC-Baltimore Area,2024-12-01T00:00:00Z,Operations Manager I,"• Led a team of over 100 people to process customer orders timely by destination at Amazon Air Services facility 
• Translated the operational or statistical metrics into actionable items on minutely labor planning or strategical decisions
• Coached and developed my team to help them reach their career goals
• Managed company wide projects to enhance employee experience, to improve quality, safety, and cost metrics",Amazon,12.9,"Organization Skills, Product Management, Agile Methodologies, Communication, Operations Management, Analytical Skills, Data Science, Machine Learning, Python (Programming Language), Project Management, Research, Event Management, Mathematics, Financial Analysis, Data Analysis, Data Mining, Deep Learning, Business Analysis, Pivot Tables, Business Process Improvement",14
external_validation_index_28,Media Res Studio,Los Angeles,California,United States,Executive Assistant to COO,Media Res Studio,2020,Bachelor of Science,Business and Entertainment: Self-Designed Spec (BS),Business and Entertainment,28,"Bachelor of Science - BS, Business and Entertainment, Specialization in Film",2016,2020,Media Res Studio,NA,Media Res Studio,https://www.mediares.studio/,Entertainment Providers,United States,Stockholm,2022-08-01T00:00:00Z,"Office of President, Quality Control Films & The Network Advisory",NA,Quality Control Music,10.8,"Microsoft Office, Leadership, Microsoft Word, Microsoft PowerPoint, Public Speaking, Research, Project Management, Marketing, Social Media",10
external_validation_index_29,Vice President,Scotch Plains,New Jersey,United States,Associate,JP Morgan,2020,Bachelor of Science,Finance (BS),Finance,29,"Bachelor of Science - BS, Finance",2016,2020,Vice President,NA,J.P. Morgan,http://www.jpmorgan.com,Financial Services,United States,"Washington, District of Columbia, United States",2026-01-01T00:00:00Z,Associate,NA,J.P. Morgan,11.4,,9
external_validation_index_30,Associate,Scotch Plains,New Jersey,United States,Associate,JP Morgan,2020,Bachelor of Science,Finance (BS),Finance,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_31,Social Media Managing Market Partner—Sales,San Diego,California,United States,Digital Marketing Specialist,Logical Position,2020,BS in Business Administration,Business Administration: Entrepreneurship (BSBA),Business Administration,31,"Bachelor’s Degree, Business Administration and Management, Entrepreneurship, Education Studies",2016,2020,Social Media Managing Market Partner—Sales,"-Managed a team of nine, prompting sales goals each month; analyzed online sales using conversion metrics in order to discover content improvements
- Produced $13k in sales in one month as a team. Set and adhered to ambitious sales goals each month
- Developed a target consumer, created customer relationships, and based sales and marketing strategies on target customer behaviors",MONAT | HairCareAmerica,https://haircareamerica.mymonat.com/shop/checkout/select_customer_for_registration,Wellness and Fitness Services,United States,NA,2018-12-01T00:00:00Z,Brand Manager and Marketing Intern,"- Worked closely with a team on developing product-centered marketing strategies to represent the brand and company vision; referred to market trends to determine the most appropriate products for content
- Prospected and onboarded international brands; received direction from logistics coordinators and suppliers
- Managed social media advertisements while working in a budget; ensured content plan represented supplier’s social impact to drive execution",Under One Umbrella,9.8,"Sales Prospecting, Sales, Relationship Building, Digital Marketing, Inside Sales, Lead Qualification, Talking Points, Phone Etiquette, Client Onboarding, Recruiting, Strategic Prospecting, Account Management, Sales & Marketing, Direct Sales, Content Strategy, Customer Retention, Client Relationship Strengthening, Interpersonal Skills, Influencer Marketing, Customer Acquisition",7
external_validation_index_32,Practice Group Marketing Manager,Gaithersburg,Maryland,United States,Regional Marketing Manager,Offit¦Kurman®,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,32,Master of Business Administration - MBA,2018,2020,Practice Group Marketing Manager,NA,Cooley LLP,http://www.cooley.com,Law Practice,United States,"Washington, District of Columbia, United States",2024-10-01T00:00:00Z,Regional Marketing Manager,"- Provide strategic marketing support to attorneys and firmwide practice groups across Bethesda, MD, Washington D.C., and Tysons Corner, VA.
- Develop and implement marketing plans and campaigns, including strategy development, personal and group branding, content creation, and dissemination across various channels.
- Draft, review, and edit marketing collateral and pitch materials to align with firm branding and client expectations.
- Track marketing initiatives and provide updates on campaign performance and key takeaways.
- Collaborate with the Marketing team across the firm's geographic footprint on firmwide marketing initiatives and events.
- Regularly meet with attorneys to assess marketing needs and provide tailored support to achieve business objectives.
- Plan, promote, and support in-person and virtual events such as webinars, panel discussions, networking functions, and speaking engagements, ensuring seamless execution.
- Conduct new hire marketing orientation for lawyers, reviewing marketing capabilities.","Offit Kurman, P.A.",14.8,"Microsoft Office, Microsoft Excel, Event Planning, QuickBooks, Microsoft Word, Account Reconciliation, ADP Payroll, Access, Social Media Marketing, HootSuite, Constant Contact, Illustrator, Photoshop, InDesign, Facebook",11
